zip_code,Median,Mean,Pop
12304,42508.8261,53979.709,20582
12305,29048.7944,35928.5381,6140
12306,59266.8156,66852.4828,25105
12307,30339.7682,35032.0598,6713
12308,45308.3763,55526.8781,13655
12309,85500.2327,103582.8762,28275
12401,50557.8891,63156.3214,35239
12404,60222.0501,68945.1389,3509
12405,43149.6812,51232.7392,591
12406,45814.1528,54279.2768,842
12407,43233,53489,144
12409,60089,90820,783
12410,45650.689,59712.597,460
12411,59328.98,68979.38,571
12412,53185.8696,81720.398,605
12413,44041.8342,56898.2104,2901
12414,38297.017,54081.6439,9205
12416,43467,58541,210
12417,62875,73425,729
12418,49961,56116,522
12419,65736.4048,77165.0176,694
12420,51000,61593,382
12421,52859.9363,57442.4144,525
12422,49961,56116,343
12423,49961,56116,970
12424,42656,58063,264
12427,35286,43167,382
12428,42583.0955,49839.839,6704
12429,67303,84728,327
12430,45113.0981,54301.2098,1052
12431,44341.0862,58549.9464,1374
12432,54554,76378,379
12433,63387,78656,509
12434,53308,57690,695
12435,47813,58208,315
12436,35286,43167,624
12438,45461,53354,104
12439,43258.7435,54023.6146,302
12440,67414.4065,81921.723,2086
12441,47072.4098,57575.9688,123
12442,37162.402,46959.5216,974
12443,70824.3244,91054.8317,3880
12444,42656,58063,529
12446,54538.7289,61423.2287,4835
12448,60089,90820,452
12449,51942.8028,67579.3007,3370
12450,35286,43167,200
12451,40910.1815,59778.6868,1437
12452,42656,58063,216
12453,56336,72364,390
12454,43233,53489,294
12455,45253.4862,53657.4505,2174
12456,53705,73654,586
12457,50272.0468,71756.0226,877
12458,50798.2055,59073.8751,3248
12459,45882.3839,53586.8432,205
12460,49961,56116,348
12461,53553,82596,1675
12463,38445,60104,1564
12464,43467,58541,1162
12465,48275.1113,60727.1028,318
12466,62875,73425,2394
12468,44001.8969,54665.6437,1029
12469,60515.0561,66308.1527,720
12470,42083,50468,510
12471,67303,84728,234
12472,56997.2035,69160.3664,1552
12473,42083,50468,758
12474,53308,57690,1174
12475,56621.6464,73342.8656,351
12477,55247.2256,71383.8404,19409
12480,43835.8203,58735.5269,601
12481,53553,82596,1503
